Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-11-23,Batman: Mask of the Phantasm,1993,https://boxd.it/5cMXUr,3.5,,"viver um amor ou salvar o mundo?

vai te fude o mundo que se foda...
mas si ate o batma sofre por amor pq nois tbm n pode",,2023-11-23
2024-07-02,A Man Amidst Bees,2015,https://boxd.it/6MGZjH,4,Yes,"eu quero ver quem vai me fazer acreditar que esse filme é ruim

agora serio, eu não sei é porque eu já revi esse filme várias vezes, mas eu acho esse filme extremamente bom pra que ele se propõe. é doido voce ver em comentário do tiktok que a galera simplesmente não consegue entender o filme no geral

um adendo pra atuação do fabio porchat, o cara tá totalmente diferente de qualquer personagem que ele já interpretou no porta",,2024-07-01
2024-07-16,Lisbela and the Prisoner,2003,https://boxd.it/6SSfSz,1.5,,"um dos filmes mais superestimados do cinema brasileiro, mas vou guardar o odio pra mais tarde",,2024-07-15
