Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-12-28,Leave the World Behind,2023,https://boxd.it/5q9Evl,3.5,,um suspense que vai desgraçando tua cabeça e quando termina voce roeu todas as suas unhas de nervoso,,2023-12-28
2023-12-30,The Secret Life of Walter Mitty,2013,https://boxd.it/5qWh4p,4,,"so quem disassociou mais de 10 vezes num dia só pensando em situações e vidas que você poderia ter vivido vai entender

até um tempo atrás, eu tinha um certo preconceito com o Ben Stiller, principalmente pq eu só conhecia ele de Zoolander e aquelas comédias ruinzonas da sessão da tarde. depois que eu assisti Severence e descobri que era ele o diretor, minha visão mudou bastante. esse filme só reforça o quanto ele é um bom ator e diretor.

Walter Mitty fala muito sobre coragem. sobre superar os seus medos de fazer algo porque talvez na sua cabeça pareça algo esquisito, ou algo que não deve ser feito, então você fica somente no campo de imaginar como seria tal situação se você tivesse tomado uma decisão contrária. eu gostei muito, me identifiquei pra caralho com o personagem principal e gostei como a história foi contada.

o único ponto negativo foi a PORRA do final que tava no canto mais obvio possível.

mas é um ótimo filme pra dar uma risadinha e só tomar um esporro da vida.

let it happen",,2023-12-29
2024-01-01,A Wolf at the Door,2013,https://boxd.it/5sbz2Z,3.5,,"ao ver um lobo em pele de cordeiro, é necessário entender duas coisas:

- como aquele lobo entrou naquela pele
- o que fez esse animal se tornar lobo?

essa história é bem contada, não exatamente de forma linear, mas muito bem construída.

o ator que interpreta o Bernardo é o mesmo ator que interpreta o Fábio de Tropa de Elite, e esse cara sabe mt interpretar personagem odiavel, e nesse papel aqui ele se supera muito

apesar de que, do núcleo principal, só a Sylvia e a filha não fizeram nada de errado. de resto, é todo mundo muito pau no cu dms.

a cena final, representando a mesma cena que a polícia vai atrás da Rosa no começo, só que com a câmera de outro ângulo é genial.

gostei bastante, mas descobri só depois que é baseada fortemente em um caso real do brazilian",,2023-12-31
2024-01-02,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/5sBbT3,5,,meu romance preferido,,2024-01-01
2024-01-06,Central Station,1998,https://boxd.it/5vBfsR,5,,"porra se o próximo filme q eu ver for triste eu vou me matar pqp 

mas esse filme é bom demais",,2024-01-05
2024-01-10,Jumper,2008,https://boxd.it/5xZMpx,2,,"bem qualquer coisa.
medíocre, mas ainda assim tem suas qualidades. não tem muito roteiro, mas tem uns poderes divertidos e o samuel l jackson. da pra se divertir",,2024-01-09
2024-01-10,Audition,1999,https://boxd.it/5xZNAB,3.5,,cuidado com mulher doida,,2024-01-09
2024-01-22,The Nutty Professor,1996,https://boxd.it/5EOoQP,1.5,,"eu quis reassistir porque quando eu era pequeno assistia PRA CARALHO esse filme na record, eu devo ter assistido pelo menos umas 12 vezes ou mais

não esperava nada de mais, e foi o que eu recebi. tem umas coisinhas legais, a premissa de um professor mt gordo que toma uma substância e se transforma num cara bonito, sempre achei meio máscara do jim carrey

mas as piadas do filme são ruins, se resumem em peido, hamsters cagando em cafés, professor com a bunda tão grande que se vira e ativa alavancas na casa e o eddy murphy fazendo 800 personagens, impedindo que o filme consiga se sustentar com outros atores.",,2024-01-22
2024-01-23,Estômago: A Gastronomic Story,2007,https://boxd.it/5F2tMV,4.5,,"que falta faz um filme desse naipe no cinema nacional. 

um filme sem barriga, bem dirigido, muito bem atuado, e uma história PICA que te pega de surpresa com o plot twist.

eu gosto muito como ele é apresentado, intercalando sempre cenas do passado, e cenas do presente do Raimundo Nonato.

por falar nele, eu gosto pra caralho da atuação do João Miguel, que infelizmente acabou por nascer com uma cara de tonto, mas que contribui bastante para o personagem que é meio ingênuo (principalmente no começo).

quero muito ver como vai ser Estômago 2 (que nao tenho mtas esperanças)",,2024-01-22
2024-01-25,Sorry to Bother You,2018,https://boxd.it/5FT5QZ,3.5,,"entrei achando que ia ser uma comédia com humor duvidoso e acabei caindo numa distopia capitalista

parece um episódio humorado de Black Mirror, mas sem estar num futuro tao distante, tlgd? me lembra aquele episódio Daniel Kaluuya. 

o filme tem um plot zica e um twist malucao, mas que faz todo sentido com a proposta do filme de criticar a escravização do trabalho no sistema capitalista. eu tentei gostar mais dele, mas tem umas coisas que não entendi:

- os focos excessivos nos brincos da mina, achei que isso seria até importante em algum momento. parece até em the boys quando eles fazem propaganda daquele refrigerante. é esquisitasso mano
- os beeps no nome do superior do cassius, se era uma piada nao teve graça nenhuma e n fez nem sentido p mim
- o romance que o ator do glen de twd com a detroit. que bgl nada a ve.

mas é um filme maneirinho e o final junto do créditos é muito foda kkkkkkkk",,2024-01-24
2024-01-25,Airplane!,1980,https://boxd.it/5G6UfL,5,Yes,"essa sempre vai ser minha comédia favorita.

toda esquete eu me explodo de rir, de vez em quando eu fico atrás de umas comedias meio parecidas mas eu nunca encontro algo bom como airplane. tudo nesse filme é muito bom.",,2024-01-24
2024-01-27,Big Fish,2003,https://boxd.it/5GNokF,3.5,,"mano, parece muito um Forrest Gump. é como se o estúdio chegasse pro Tim Burton e dissesse ""nois quer O NOSSO forrest gump""

não tem muitos maneirismos do Tim Burton, e a história é muito interessante.

eu gostei bastante do filme, mas acaba que no final, você ainda continua a entender o filho do Edward, porque o pai dele sempre vai atrás dos holofotes pra si mesmo em qualquer ocasião. mesmo quando aquele momento não é dele.",,2024-01-26
2024-01-31,When Evil Lurks,2023,https://boxd.it/5J3fKp,4,,um ótimo terror argentino. o tipo de terror que eu gosto: as coisas vão acontecendo e você vai começando a perceber que não tem mais o que fazer pra parar tudo isso,,2024-01-30
2024-01-31,Lamb,2021,https://boxd.it/5J3meb,2,,"um amigo meu me recomendou esse filme e não consegui gostar muito dele.

eu não sou contra filmes que não se explicam, que deixam ao espectador decidirem o que aquela experiência foi pra eles. mas Lamb é uma experiência tão complicada que você fica com dúvidas sobre o que tu assistiu

é uma experiência curiosa. minha visão é que se você tirar algo que já tem seu lugar na natureza, a natureza vai vir buscar isso depois (?)

é como eu disse, é um experiência meio confusa",,2024-01-30
